Product_ID,Month,Sale_Date,Sales_Rep,Region, Sales_Amount ,Quantity_Sold,Product_Category, Unit_Cost , Unit_Price ,Customer_Type,Discount,Payment_Method,Sales_Channel,Revenue
1052,February,03-02-2023,Bob,North,"5,053.97",18,Furniture,152.75,267.22,Returning,9.00%,Cash,Online,4809.96
1093,April,21-04-2023,Bob,West,"4,384.02",17,Furniture,"3,816.39","4,209.44",Returning,11.00%,Cash,Retail,71560.48
1015,September,21-09-2023,David,South,"4,631.23",30,Food,261.56,371.4,Returning,20.00%,Bank Transfer,Retail,11142
1072,August,24-08-2023,Bob,South,"2,167.94",39,Clothing,"4,330.03","4,467.75",New,2.00%,Credit Card,Retail,174242.25
1061,March,24-03-2023,Charlie,East,"3,750.20",13,Electronics,637.37,692.71,New,8.00%,Credit Card,Online,9005.23
1021,February,11-02-2023,Charlie,West,"3,761.15",32,Food,900.79,"1,106.51",New,21.00%,Cash,Online,35408.32
1083,April,11-04-2023,Bob,West,618.31,29,Furniture,"2,408.81","2,624.09",Returning,14.00%,Cash,Online,76098.61
1087,January,06-01-2023,Eve,South,"7,698.92",46,Furniture,"3,702.51","3,964.65",New,12.00%,Bank Transfer,Online,182373.9
1075,June,29-06-2023,David,South,"4,223.39",30,Furniture,738.06,"1,095.45",New,5.00%,Bank Transfer,Online,32863.5
1075,October,09-10-2023,Charlie,West,"8,239.58",18,Clothing,"2,228.35","2,682.34",New,13.00%,Bank Transfer,Online,48282.12
1088,November,16-11-2023,Eve,North,"8,518.45",13,Furniture,"2,440.11","2,517.60",New,23.00%,Bank Transfer,Retail,32728.8
1100,August,14-08-2023,Bob,West,"2,198.74",43,Food,"1,100.81","1,137.44",Returning,8.00%,Bank Transfer,Online,48909.92
1024,November,11-11-2023,Eve,West,"6,607.80",21,Food,622.01,641.09,Returning,0.00%,Bank Transfer,Retail,13462.89
1003,December,31-12-2023,Alice,South,"4,775.59",30,Furniture,"4,190.28","4,270.65",New,20.00%,Cash,Online,128119.5
1022,August,17-08-2023,Charlie,South,"8,813.55",21,Food,"2,537.20","2,869.60",New,29.00%,Bank Transfer,Retail,60261.6
1053,October,16-10-2023,Bob,North,"2,235.83",48,Furniture,121.19,487.65,New,18.00%,Cash,Retail,23407.2
1002,May,30-05-2023,David,North,"6,810.35",17,Furniture,"4,024.76","4,420.15",Returning,4.00%,Cash,Online,75142.55
1088,October,04-10-2023,Bob,East,"6,116.75",40,Electronics,"4,904.93","5,034.35",New,10.00%,Credit Card,Retail,201374
1030,July,17-07-2023,David,West,"3,023.48",19,Clothing,"3,049.33","3,209.22",Returning,26.00%,Cash,Online,60975.18
1038,March,11-03-2023,Bob,South,"1,452.35",15,Clothing,"2,543.36","2,790.10",Returning,7.00%,Cash,Online,41851.5
1002,April,22-04-2023,Eve,North,"6,551.23",9,Electronics,"4,398.16","4,439.12",New,18.00%,Bank Transfer,Online,39952.08
1064,January,04-01-2023,Eve,East,"7,412.11",10,Electronics,"4,764.96","5,074.42",New,12.00%,Cash,Online,50744.2
1060,December,16-12-2023,Eve,East,"3,224.71",44,Clothing,"3,784.96","4,276.99",New,6.00%,Bank Transfer,Retail,188187.56
1021,November,27-11-2023,Alice,South,"6,483.84",31,Furniture,"2,254.99","2,441.79",Returning,24.00%,Bank Transfer,Online,75695.49
1033,November,14-11-2023,David,South,"4,011.80",23,Furniture,"2,981.50","3,360.40",Returning,22.00%,Bank Transfer,Retail,77289.2
1076,December,16-12-2023,Eve,East,"7,160.75",30,Clothing,"3,519.63","3,774.65",New,20.00%,Credit Card,Retail,113239.5
1058,April,05-04-2023,Alice,North,"2,072.23",33,Furniture,"1,011.65","1,084.28",Returning,7.00%,Bank Transfer,Retail,35781.24
1022,June,01-06-2023,David,East,"8,913.13",9,Electronics,"2,263.65","2,558.95",New,3.00%,Cash,Online,23030.55
1089,November,07-11-2023,Bob,West,"2,945.36",47,Furniture,"4,157.62","4,314.56",New,17.00%,Bank Transfer,Retail,202784.32
1049,May,17-05-2023,Alice,West,"3,741.08",1,Furniture,"3,290.89","3,317.75",Returning,17.00%,Bank Transfer,Online,3317.75
1091,September,04-09-2023,Charlie,South,675.11,44,Food,"2,085.46","2,406.58",Returning,6.00%,Bank Transfer,Retail,105889.52
1059,August,31-08-2023,Alice,North,"1,203.97",35,Food,"3,333.64","3,764.52",Returning,2.00%,Credit Card,Online,131758.2
1042,January,31-01-2023,Alice,North,"5,207.03",11,Food,635.2,814.14,Returning,2.00%,Cash,Online,8955.54
1092,February,09-02-2023,David,West,"2,749.17",34,Furniture,"2,037.41","2,238.65",New,30.00%,Credit Card,Online,76114.1
1060,August,17-08-2023,Bob,East,"8,371.25",16,Clothing,"3,975.99","4,422.59",New,24.00%,Cash,Online,70761.44
1080,February,05-02-2023,Charlie,South,245.46,9,Electronics,"1,141.52","1,550.19",New,28.00%,Credit Card,Retail,13951.71
1015,August,11-08-2023,Eve,East,"3,853.03",32,Furniture,970.51,"1,330.84",Returning,6.00%,Cash,Retail,42586.88
1062,January,06-01-2023,Eve,East,"3,439.72",15,Clothing,"4,756.55","4,888.46",New,29.00%,Credit Card,Online,73326.9
1062,November,18-11-2023,Alice,East,291.34,12,Furniture,"1,088.99","1,545.00",Returning,4.00%,Bank Transfer,Retail,18540
1047,August,08-08-2023,David,North,"1,331.25",33,Electronics,"1,341.55","1,427.21",Returning,15.00%,Credit Card,Online,47097.93
1062,March,16-03-2023,David,West,"4,195.06",45,Furniture,"4,849.60","5,166.72",Returning,25.00%,Credit Card,Online,232502.4
1051,January,04-01-2023,Eve,North,"4,979.36",14,Electronics,"3,686.81","3,710.92",New,10.00%,Bank Transfer,Retail,51952.88
1055,December,01-12-2023,Charlie,West,"4,102.47",8,Furniture,"3,513.00","3,838.42",Returning,13.00%,Bank Transfer,Online,30707.36
1064,May,14-05-2023,Bob,South,"5,356.28",8,Electronics,"4,271.99","4,417.79",Returning,4.00%,Cash,Online,35342.32
1003,April,28-04-2023,Charlie,South,"5,991.80",27,Furniture,623.32,853.66,Returning,4.00%,Cash,Online,23048.82
1051,April,04-04-2023,Bob,East,198.25,12,Electronics,"3,544.48","3,723.66",Returning,19.00%,Cash,Online,44683.92
1007,March,03-03-2023,Eve,West,"4,694.54",1,Food,"2,543.26","2,637.91",Returning,20.00%,Credit Card,Online,2637.91
1021,July,13-07-2023,Bob,West,"9,638.64",43,Furniture,"4,154.30","4,469.07",Returning,23.00%,Cash,Retail,192170.01
1073,December,01-12-2023,David,West,"5,238.42",40,Furniture,"2,565.30","3,007.47",Returning,17.00%,Credit Card,Retail,120298.8
1039,July,22-07-2023,Alice,East,"6,807.67",42,Clothing,"3,120.19","3,600.14",Returning,19.00%,Credit Card,Retail,151205.88
1018,January,26-01-2023,Alice,East,"3,187.45",11,Clothing,"2,414.82","2,519.07",Returning,0.00%,Cash,Online,27709.77
1004,June,22-06-2023,Eve,South,"7,762.51",39,Electronics,"2,416.89","2,778.40",Returning,5.00%,Cash,Online,108357.6
1089,October,27-10-2023,David,North,"7,751.92",43,Furniture,"3,851.45","4,186.98",Returning,30.00%,Credit Card,Online,180040.14
1060,May,13-05-2023,Charlie,West,"5,260.83",31,Electronics,"3,161.40","3,339.66",Returning,2.00%,Bank Transfer,Online,103529.46
1014,November,22-11-2023,David,West,"9,762.54",17,Food,"3,184.65","3,204.01",New,20.00%,Bank Transfer,Online,54468.17
1009,April,28-04-2023,Alice,North,"1,342.95",33,Clothing,"2,278.90","2,626.90",New,5.00%,Credit Card,Online,86687.7
1090,November,20-11-2023,Alice,West,267.78,32,Electronics,"2,678.99","3,152.28",Returning,22.00%,Cash,Retail,100872.96
1053,October,02-10-2023,David,East,"7,724.57",29,Electronics,"3,741.30","4,061.04",Returning,21.00%,Credit Card,Online,117770.16
1002,July,31-07-2023,David,East,"8,090.84",21,Clothing,"4,138.41","4,361.70",Returning,7.00%,Credit Card,Retail,91595.7
1084,August,13-08-2023,Alice,West,"1,290.05",21,Furniture,"3,497.98","3,765.31",New,8.00%,Cash,Online,79071.51
1092,January,20-01-2023,Charlie,East,"2,729.27",40,Electronics,"4,624.16","4,731.98",New,20.00%,Bank Transfer,Retail,189279.2
1060,April,23-04-2023,Eve,East,273.77,23,Clothing,"4,110.60","4,488.37",New,12.00%,Credit Card,Online,103232.51
1071,May,20-05-2023,Eve,West,"3,003.76",6,Furniture,"2,831.23","3,206.98",Returning,6.00%,Bank Transfer,Retail,19241.88
1044,February,16-02-2023,David,South,"7,754.10",22,Food,"3,373.46","3,454.76",Returning,22.00%,Bank Transfer,Retail,76004.72
1008,January,01-01-2023,Eve,North,"5,227.81",38,Clothing,"4,635.23","5,075.44",Returning,5.00%,Cash,Online,192866.72
1047,March,31-03-2023,Alice,East,"3,546.15",37,Electronics,"3,114.88","3,256.78",Returning,26.00%,Credit Card,Online,120500.86
